flow_src_ip,flow_dst_ip,flow_src_port,flow_dst_port,protocol,flow_bucket,flow_duration,total_fwd_packets,total_bwd_packets,packet_len_mean,packet_len_min,packet_len_max,packet_len_std,total_bytes_fwd,total_bytes_bwd,bytes_per_sec,packets_per_sec,flow_iat_mean,flow_iat_min,flow_iat_max,flow_iat_std,fwd_bwd_ratio,syn_flag_count,label
10.0.0.1,10.0.0.2,0,0,ICMP,3530775794,0.008068085,1,1,98,98,98,0,98,98,194346.0009,247.8903073,0.008068085,0.008068085,0.008068085,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775796,0.000953913,1,1,98,98,98,0,98,98,1643756.229,2096.627843,0.000953913,0.000953913,0.000953913,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775798,9.08E-05,1,1,98,98,98,0,98,98,17261597.56,22017.34383,9.08E-05,9.08E-05,9.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775800,9.08E-05,1,1,98,98,98,0,98,98,17261597.56,22017.34383,9.08E-05,9.08E-05,9.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775802,9.20E-05,1,1,98,98,98,0,98,98,17038001.74,21732.14508,9.20E-05,9.20E-05,9.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775804,6.51E-05,1,1,98,98,98,0,98,98,24090361.44,30727.50183,6.51E-05,6.51E-05,6.51E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775806,5.70E-05,1,1,98,98,98,0,98,98,27517442.14,35098.77824,5.70E-05,5.70E-05,5.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775809,8.20E-05,1,1,98,98,98,0,98,98,19118222.88,24385.48837,8.20E-05,8.20E-05,8.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775811,8.70E-05,1,1,98,98,98,0,98,98,18018270.33,22982.48767,8.70E-05,8.70E-05,8.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775813,8.58E-05,1,1,98,98,98,0,98,98,18268524.09,23301.68889,8.58E-05,8.58E-05,8.58E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775815,9.70E-05,1,1,98,98,98,0,98,98,16158891.09,20610.83047,9.70E-05,9.70E-05,9.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775817,8.70E-05,1,1,98,98,98,0,98,98,18018270.33,22982.48767,8.70E-05,8.70E-05,8.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775819,8.70E-05,1,1,98,98,98,0,98,98,18018270.33,22982.48767,8.70E-05,8.70E-05,8.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775821,8.61E-05,1,1,98,98,98,0,98,98,18217918.76,23237.14127,8.61E-05,8.61E-05,8.61E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775823,7.51E-05,1,1,98,98,98,0,98,98,20878313.24,26630.50159,7.51E-05,7.51E-05,7.51E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775825,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775827,7.41E-05,1,1,98,98,98,0,98,98,21146844.6,26973.01608,7.41E-05,7.41E-05,7.41E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775829,7.82E-05,1,1,98,98,98,0,98,98,20050819.12,25575.02439,7.82E-05,7.82E-05,7.82E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775831,6.99E-05,1,1,98,98,98,0,98,98,22445968.16,28630.06143,6.99E-05,6.99E-05,6.99E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775833,5.70E-05,1,1,98,98,98,0,98,98,27517442.14,35098.77824,5.70E-05,5.70E-05,5.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775835,7.51E-05,1,1,98,98,98,0,98,98,20878313.24,26630.50159,7.51E-05,7.51E-05,7.51E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775837,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775839,7.58E-05,1,1,98,98,98,0,98,98,20681348.03,26379.27044,7.58E-05,7.58E-05,7.58E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775841,6.60E-05,1,1,98,98,98,0,98,98,23742486.18,30283.78339,6.60E-05,6.60E-05,6.60E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775843,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775845,5.89E-05,1,1,98,98,98,0,98,98,26626188.96,33961.97571,5.89E-05,5.89E-05,5.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775847,5.48E-05,1,1,98,98,98,0,98,98,28594211.62,36472.2087,5.48E-05,5.48E-05,5.48E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775850,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775852,8.70E-05,1,1,98,98,98,0,98,98,18018270.33,22982.48767,8.70E-05,8.70E-05,8.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775854,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775856,6.29E-05,1,1,98,98,98,0,98,98,24911623.76,31775.0303,6.29E-05,6.29E-05,6.29E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775858,5.72E-05,1,1,98,98,98,0,98,98,27402786.13,34952.53333,5.72E-05,5.72E-05,5.72E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775860,5.48E-05,1,1,98,98,98,0,98,98,28594211.62,36472.2087,5.48E-05,5.48E-05,5.48E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775862,6.82E-05,1,1,98,98,98,0,98,98,22995345.01,29330.7972,6.82E-05,6.82E-05,6.82E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775864,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775866,8.08E-05,1,1,98,98,98,0,98,98,19400202.57,24745.15634,8.08E-05,8.08E-05,8.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775868,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775870,6.91E-05,1,1,98,98,98,0,98,98,22678167.83,28926.23448,6.91E-05,6.91E-05,6.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775872,6.39E-05,1,1,98,98,98,0,98,98,24539808.48,31300.77612,6.39E-05,6.39E-05,6.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775874,6.20E-05,1,1,98,98,98,0,98,98,25294879.51,32263.87692,6.20E-05,6.20E-05,6.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775876,7.70E-05,1,1,98,98,98,0,98,98,20361203.32,25970.9226,7.70E-05,7.70E-05,7.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775878,7.89E-05,1,1,98,98,98,0,98,98,19869089.64,25343.22659,7.89E-05,7.89E-05,7.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775880,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775882,6.29E-05,1,1,98,98,98,0,98,98,24911623.76,31775.0303,6.29E-05,6.29E-05,6.29E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775884,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775886,5.79E-05,1,1,98,98,98,0,98,98,27064480.13,34521.02058,5.79E-05,5.79E-05,5.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775888,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775890,6.91E-05,1,1,98,98,98,0,98,98,22678167.83,28926.23448,6.91E-05,6.91E-05,6.91E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775893,8.11E-05,1,1,98,98,98,0,98,98,19343143.15,24672.37647,8.11E-05,8.11E-05,8.11E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775895,8.92E-05,1,1,98,98,98,0,98,98,17584675.59,22429.43316,8.92E-05,8.92E-05,8.92E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775897,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775899,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775901,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775903,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775905,6.89E-05,1,1,98,98,98,0,98,98,22756639,29026.32526,6.89E-05,6.89E-05,6.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775907,7.01E-05,1,1,98,98,98,0,98,98,22369621.33,28532.68027,7.01E-05,7.01E-05,7.01E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775909,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775911,7.51E-05,1,1,98,98,98,0,98,98,20878313.24,26630.50159,7.51E-05,7.51E-05,7.51E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775913,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775915,7.08E-05,1,1,98,98,98,0,98,98,22143665.56,28244.47138,7.08E-05,7.08E-05,7.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775917,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775919,6.82E-05,1,1,98,98,98,0,98,98,22995345.01,29330.7972,6.82E-05,6.82E-05,6.82E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775921,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775923,6.20E-05,1,1,98,98,98,0,98,98,25294879.51,32263.87692,6.20E-05,6.20E-05,6.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775925,6.58E-05,1,1,98,98,98,0,98,98,23828509.68,30393.50725,6.58E-05,6.58E-05,6.58E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775927,7.39E-05,1,1,98,98,98,0,98,98,21215060.23,27060.02581,7.39E-05,7.39E-05,7.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775929,6.39E-05,1,1,98,98,98,0,98,98,24539808.48,31300.77612,6.39E-05,6.39E-05,6.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775931,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775933,6.29E-05,1,1,98,98,98,0,98,98,24911623.76,31775.0303,6.29E-05,6.29E-05,6.29E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775936,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775938,6.99E-05,1,1,98,98,98,0,98,98,22445968.16,28630.06143,6.99E-05,6.99E-05,6.99E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775940,7.08E-05,1,1,98,98,98,0,98,98,22143665.56,28244.47138,7.08E-05,7.08E-05,7.08E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775942,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775944,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775946,8.80E-05,1,1,98,98,98,0,98,98,17822950.33,22733.35501,8.80E-05,8.80E-05,8.80E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775948,8.20E-05,1,1,98,98,98,0,98,98,19118222.88,24385.48837,8.20E-05,8.20E-05,8.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775950,7.39E-05,1,1,98,98,98,0,98,98,21215060.23,27060.02581,7.39E-05,7.39E-05,7.39E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775952,6.60E-05,1,1,98,98,98,0,98,98,23742486.18,30283.78339,6.60E-05,6.60E-05,6.60E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775954,7.41E-05,1,1,98,98,98,0,98,98,21146844.6,26973.01608,7.41E-05,7.41E-05,7.41E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775956,6.82E-05,1,1,98,98,98,0,98,98,22995345.01,29330.7972,6.82E-05,6.82E-05,6.82E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775958,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775960,8.49E-05,1,1,98,98,98,0,98,98,18473788.4,23563.50562,8.49E-05,8.49E-05,8.49E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775962,7.49E-05,1,1,98,98,98,0,98,98,20944804.69,26715.3121,7.49E-05,7.49E-05,7.49E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775964,7.49E-05,1,1,98,98,98,0,98,98,20944804.69,26715.3121,7.49E-05,7.49E-05,7.49E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775966,7.61E-05,1,1,98,98,98,0,98,98,20616516.21,26296.5768,7.61E-05,7.61E-05,7.61E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775968,6.70E-05,1,1,98,98,98,0,98,98,23404514.85,29852.69751,6.70E-05,6.70E-05,6.70E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775970,6.82E-05,1,1,98,98,98,0,98,98,22995345.01,29330.7972,6.82E-05,6.82E-05,6.82E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775972,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775974,6.99E-05,1,1,98,98,98,0,98,98,22445968.16,28630.06143,6.99E-05,6.99E-05,6.99E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775976,5.79E-05,1,1,98,98,98,0,98,98,27064480.13,34521.02058,5.79E-05,5.79E-05,5.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775979,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775981,7.10E-05,1,1,98,98,98,0,98,98,22069357.96,28149.69128,7.10E-05,7.10E-05,7.10E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775983,6.79E-05,1,1,98,98,98,0,98,98,23076030.43,29433.71228,6.79E-05,6.79E-05,6.79E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775985,6.58E-05,1,1,98,98,98,0,98,98,23828509.68,30393.50725,6.58E-05,6.58E-05,6.58E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775987,7.30E-05,1,1,98,98,98,0,98,98,21492381.28,27413.75163,7.30E-05,7.30E-05,7.30E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775989,5.89E-05,1,1,98,98,98,0,98,98,26626188.96,33961.97571,5.89E-05,5.89E-05,5.89E-05,0,1,0,normal
10.0.0.1,10.0.0.2,0,0,ICMP,3530775991,7.20E-05,1,1,98,98,98,0,98,98,21777048.58,27776.84768,7.20E-05,7.20E-05,7.20E-05,0,1,0,normal
